"edi_version","date"
"edi.1500.6","2/19/2026"
"edi.1500.7","2026-02-20"
"edi.1500.8","2026-02-20"
"edi.1500.9","2026-02-23"
"edi.1500.10","2026-02-25"
"edi.1500.11","2026-02-25"
"edi.1500.12","2026-02-25"
"edi.1500.13","2026-04-01"
"edi.1500.14","2026-04-28"
